MACRO_GENSPECIES,FINAL_ID,MMS_TOLERANCE,MMS_TOLERANCE_NAME,MMS_NBI_PHOSPHORUS_TOL,MMS_NBI_NITRATE_TOL,MMS_FEEDING_HABITS,MMS_REFERENCE,MMS_PREV_NAME,MMS_INTEGR_TAXONOMIC_INFO_SYS,MMS_KINGDOM,MMS_SUBKINGDOM,MMS_INFRAKINGDOM,MMS_SUPERPHYLUM,MMS_PHYLUM,MMS_SUBPHYLUM,MMS_CLASS,MMS_SUBCLASS,MMS_INFRACLASS,MMS_SUPERORDER,MMS_ORDER,MMS_SUBORDER,MMS_INFRAORDER,MMS_SUPERFAMILY,MMS_FAMILY,MMS_SUBFAMILY,MMS_TRIBE,MMS_GENUS,MMS_SPECIES,MSTR_MACRO_SPECIES_ID,MMS_CLASSIFIER,MMS_COMMON_NAME,MMS_WATER_QLTY_EXCHANGE_NAME,MMS_WQX_UNIDENTIFD_SPECEIS_NAME
ABLABESMYIA ANNULATA,ABLABESMYIA_ANNULATA,8,tolerant,,,predator,95,ablabesmyia_sp._4,128081,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_annulata,,,,,
ABLABESMYIA ASPERA,ABLABESMYIA_ASPERA,8,tolerant,,,predator,95,,128083,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_aspera,,,,,
ABLABESMYIA IDEI,ABLABESMYIA_IDEI,8,tolerant,,,predator,95,,128090,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_idei,,,,,
ABLABESMYIA ILLINOENSIS,ABLABESMYIA_ILLINOENSIS,8,tolerant,,,predator,,,128092,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_illinoensis,,,,,
ABLABESMYIA JANTA,ABLABESMYIA_JANTA,8,tolerant,,,predator,95,,128093,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_janta,,,,,
ABLABESMYIA MALLOCHI,ABLABESMYIA_MALLOCHI,8,tolerant,,,predator,95,,128097,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_mallochi,,,,,
ABLABESMYIA MONILIS,ABLABESMYIA_MONILIS,8,tolerant,,,predator,95,"ablabesmyia_basalis,_ablabesmyia_parajanta",128107,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_monilis,,,,,
ABLABESMYIA PELEENSIS,ABLABESMYIA_PELEENSIS,8,tolerant,,,predator,95,,128113,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_peleensis,,,,,
ABLABESMYIA PHILOSPHAGNOS,ABLABESMYIA_PHILOSPHAGNOS,8,tolerant,,,predator,95,,128115,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_philosphagnos,,,,,
ABLABESMYIA RHAMPHE,ABLABESMYIA_RHAMPHE,8,tolerant,,,predator,36,,128121,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_rhamphe,,,,,
ABLABESMYIA SIMPSONI,ABLABESMYIA_SIMPSONI,8,tolerant,,,predator,95,,128123,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_simpsoni,,,,,
ABLABESMYIA SP.,ABLABESMYIA_SP.,8,tolerant,,,predator,95,,128079,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,,,,,,
ACENTRELLA AMPLA,ACENTRELLA_AMPLA,6,facultative,,,gatherer,"74,119",baetis_amplus,776946,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,baetidae,,,heterocloeon,heterocloeon_amplum,,,,,
ACENTRELLA SP.,ACENTRELLA_SP.,4,intolerant,5,5,gatherer,83,pseudocloeon_sp.,100801,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,baetidae,,,acentrella,,,,,,
ACENTRELLA TURBIDA,ACENTRELLA_TURBIDA,4,intolerant,,,gatherer,83,,568574,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,baetidae,,,acentrella,acentrella_turbida,,,,,
ACENTRIA SP.,ACENTRIA_SP.,5,facultative,,,shredder,"83,66",,117741,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,lepidoptera,,,pyraloidea,crambidae,nymphulinae,acentropini,acentria,,,,,,
ACERPENNA MACDUNNOUGHI,ACERPENNA_MACDUNNOUGHI,5,facultative,,,gatherer,"74,120",baetis_macdunnoughi,568671,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,baetidae,,,acerpenna,acerpenna_macdunnoughi,,,,,
ACERPENNA PYGMAEA,ACERPENNA_PYGMAEA,4,intolerant,0,4,gatherer,"74,120",baetis_pygmaeus,206620,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,baetidae,,,acerpenna,acerpenna_pygmaea,,,,,
ACERPENNA SP.,ACERPENNA_SP.,4,intolerant,,,gatherer,"74,120",,568546,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,baetidae,,,acerpenna,,,,,,
ACRICOTOPUS NITIDELLUS,ACRICOTOPUS_NITIDELLUS,10,tolerant,,,gatherer,"124,36",acricotopus_sp.,128466,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,orthocladiinae,,acricotopus,acricotopus_nitidellus,,,,,
ACRICOTOPUS SP.,ACRICOTOPUS_SP.,10,tolerant,,,gatherer,"124,36",,128463,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,orthocladiinae,,acricotopus,,,,,,
