"","MMDH_RICHNESS","MMDH_RICHNESS_SCORE","MMDH_EPT_RICH","MMDH_EPT_SCORE","MMDH_HBI_INDEX","MMDH_HBI_SCORE","MMDH_BIO_ASMT_PROFILE_SCORE","MMDH_PCT_MODEL_AFFINITY","MMDH_PCT_MODEL_AFFINITY_SCORE","MMDH_NUTRIENT_BIOTIC_INDEX_P","MMDH_NBI_P_SCORE","MMDH_LINKED_ID_VALIDATOR"
"1",24,6.76,2,3.06,5.74,5.95,4.46,50,5.16,7.45,1.37,"13-PATS-0.5_20180705_1_1"
"2",21,5.88,3,3.61,5.53,6.21,4.06,47,4.6,8.08,0,"13-PATS-0.5_20180705_1_2"
"3",22,6.18,3,3.61,6.21,5.36,4.06,45,4.27,7.65,0.87,"13-PATS-0.5_20180705_1_3"
"4",24,6.76,3,3.61,5.61,6.11,4.2,45,4.27,7.9,0.25,"13-PATS-0.5_20180705_1_4"
"5",21,5.88,2,3.06,6.36,5.18,3.89,48,4.76,7.77,0.58,"13-PATS-1.3_20180705_1_1"
"6",16,4.26,2,3.06,6.08,5.53,3.39,44,4.11,8,0,"13-PATS-1.3_20180705_1_2"
"7",21,5.88,3,3.61,5.94,5.7,4.01,45,4.27,7.77,0.58,"13-PATS-1.3_20180705_1_3"
"8",19,5.29,2,3.06,6.19,5.39,3.8,49,4.92,7.87,0.32,"13-PATS-1.3_20180705_1_4"
"9",23,6.47,4,4.17,6.26,5.3,4.69,46,4.44,6.77,3.08,"13-PATS-1.8_20180705_1_1"
"10",16,4.26,2,3.06,6.22,5.35,3.7,45,4.27,7.38,1.55,"13-PATS-1.8_20180705_1_2"
"11",21,5.88,3,3.61,5.51,6.24,5.01,48,4.76,6.17,4.58,"13-PATS-1.8_20180705_1_3"
"12",15,3.97,3,3.61,4.76,7.18,5.08,45,4.27,5.45,6.38,"13-PATS-1.8_20180705_1_4"
