"","MSDH_LINKED_ID_VALIDATOR","MSDH_INDIVIDUAL_SPECIES_CNT","MSTR_MACRO_SPECIES_ID"
"1","13-PATS-0.5_20180705_1_1",6,"hydropsyche_betteni"
"2","13-PATS-0.5_20180705_1_1",4,"hydroptila_sp."
"3","13-PATS-0.5_20180705_1_1",1,"stenelmis_crenata"
"4","13-PATS-0.5_20180705_1_1",6,"stenelmis_sp."
"5","13-PATS-0.5_20180705_1_1",15,"antocha_sp."
"6","13-PATS-0.5_20180705_1_1",8,"diamesa_sp."
"7","13-PATS-0.5_20180705_1_1",1,"cricotopus_trifascia_gr."
"8","13-PATS-0.5_20180705_1_1",1,"thienemannimyia_gr._spp."
"9","13-PATS-0.5_20180705_1_1",2,"rheocricotopus_robacki"
"10","13-PATS-0.5_20180705_1_1",1,"polypedilum_flavum"
"11","13-PATS-0.5_20180705_1_1",4,"cricotopus_sp."
"12","13-PATS-0.5_20180705_1_1",1,"tanytarsus_guerlus_gr."
"13","13-PATS-0.5_20180705_1_1",1,"undetermined_pisidiidae"
"14","13-PATS-0.5_20180705_1_1",1,"caecidotea_sp."
"15","13-PATS-0.5_20180705_1_1",1,"crangonyx_sp."
"16","13-PATS-0.5_20180705_1_1",30,"gammarus_sp."
"17","13-PATS-0.5_20180705_1_1",4,"undetermined_cambaridae"
"18","13-PATS-0.5_20180705_1_1",4,"prostoma_graecense"
"19","13-PATS-0.5_20180705_1_1",1,"undetermined_turbellaria"
"20","13-PATS-0.5_20180705_1_1",1,"undetermined_lumbricina"
"21","13-PATS-0.5_20180705_1_1",2,"undetermined_enchytraeidae"
"22","13-PATS-0.5_20180705_1_1",1,"undet._tubificidae_w/o_cap._setae"
"23","13-PATS-0.5_20180705_1_1",3,"nais_bretscheri"
"24","13-PATS-0.5_20180705_1_1",1,"nais_variabilis"
"25","13-PATS-0.5_20180705_1_2",2,"cheumatopsyche_sp."
"26","13-PATS-0.5_20180705_1_2",3,"hydropsyche_betteni"
"27","13-PATS-0.5_20180705_1_2",13,"hydroptila_sp."
"28","13-PATS-0.5_20180705_1_2",2,"stenelmis_sp."
"29","13-PATS-0.5_20180705_1_2",15,"antocha_sp."
"30","13-PATS-0.5_20180705_1_2",1,"tipula_sp."
"31","13-PATS-0.5_20180705_1_2",1,"undetermined_empididae"
"32","13-PATS-0.5_20180705_1_2",26,"diamesa_sp."
"33","13-PATS-0.5_20180705_1_2",5,"thienemannimyia_gr._spp."
"34","13-PATS-0.5_20180705_1_2",1,"rheocricotopus_robacki"
"35","13-PATS-0.5_20180705_1_2",4,"cricotopus_trifascia_gr."
"36","13-PATS-0.5_20180705_1_2",5,"cricotopus_sp."
"37","13-PATS-0.5_20180705_1_2",1,"cricotopus_bicinctus"
"38","13-PATS-0.5_20180705_1_2",2,"caecidotea_nr._racovitzai"
"39","13-PATS-0.5_20180705_1_2",5,"gammarus_sp."
"40","13-PATS-0.5_20180705_1_2",1,"undetermined_cambaridae"
"41","13-PATS-0.5_20180705_1_2",1,"prostoma_graecense"
"42","13-PATS-0.5_20180705_1_2",6,"undetermined_turbellaria"
"43","13-PATS-0.5_20180705_1_2",2,"undetermined_lumbricina"
"44","13-PATS-0.5_20180705_1_2",3,"undetermined_enchytraeidae"
"45","13-PATS-0.5_20180705_1_2",1,"undetermined_naididae"
"46","13-PATS-0.5_20180705_1_3",10,"hydropsyche_betteni"
"47","13-PATS-0.5_20180705_1_3",4,"undetermined_hydropsychidae"
"48","13-PATS-0.5_20180705_1_3",10,"hydroptila_sp."
"49","13-PATS-0.5_20180705_1_3",7,"antocha_sp."
"50","13-PATS-0.5_20180705_1_3",4,"cricotopus_trifascia_gr."
"51","13-PATS-0.5_20180705_1_3",2,"rheocricotopus_robacki"
"52","13-PATS-0.5_20180705_1_3",1,"nanocladius_sp."
"53","13-PATS-0.5_20180705_1_3",6,"cricotopus_sp."
"54","13-PATS-0.5_20180705_1_3",3,"eukiefferiella_claripennis_gr."
"55","13-PATS-0.5_20180705_1_3",1,"brillia_sp."
"56","13-PATS-0.5_20180705_1_3",1,"tanytarsus_glabrescens_gr."
"57","13-PATS-0.5_20180705_1_3",1,"cricotopus_bicinctus"
"58","13-PATS-0.5_20180705_1_3",11,"diamesa_sp."
"59","13-PATS-0.5_20180705_1_3",3,"caecidotea_racovitzai"
"60","13-PATS-0.5_20180705_1_3",1,"crangonyx_sp."
"61","13-PATS-0.5_20180705_1_3",22,"gammarus_sp."
"62","13-PATS-0.5_20180705_1_3",1,"prostoma_graecense"
"63","13-PATS-0.5_20180705_1_3",2,"undetermined_turbellaria"
"64","13-PATS-0.5_20180705_1_3",1,"undetermined_lumbricina"
"65","13-PATS-0.5_20180705_1_3",5,"undetermined_enchytraeidae"
"66","13-PATS-0.5_20180705_1_3",2,"undet._tubificidae_w/_cap._setae"
"67","13-PATS-0.5_20180705_1_3",2,"nais_bretscheri"
"68","13-PATS-0.5_20180705_1_4",1,"cheumatopsyche_sp."
"69","13-PATS-0.5_20180705_1_4",15,"hydropsyche_betteni"
"70","13-PATS-0.5_20180705_1_4",2,"undetermined_hydropsychidae"
"71","13-PATS-0.5_20180705_1_4",16,"antocha_sp."
"72","13-PATS-0.5_20180705_1_4",1,"undetermined_empididae"
"73","13-PATS-0.5_20180705_1_4",4,"cricotopus_sp."
"74","13-PATS-0.5_20180705_1_4",1,"cricotopus_trifascia_gr."
"75","13-PATS-0.5_20180705_1_4",1,"rheocricotopus_robacki"
"76","13-PATS-0.5_20180705_1_4",2,"paratrichocladius_sp."
"77","13-PATS-0.5_20180705_1_4",1,"tanytarsus_guerlus_gr."
"78","13-PATS-0.5_20180705_1_4",1,"pagastia_orthogonia"
"79","13-PATS-0.5_20180705_1_4",1,"polypedilum_flavum"
"80","13-PATS-0.5_20180705_1_4",1,"coelotanypus_sp."
"81","13-PATS-0.5_20180705_1_4",13,"diamesa_sp."
"82","13-PATS-0.5_20180705_1_4",1,"thienemannimyia_gr._spp."
"83","13-PATS-0.5_20180705_1_4",1,"caecidotea_racovitzai"
"84","13-PATS-0.5_20180705_1_4",1,"caecidotea_sp."
"85","13-PATS-0.5_20180705_1_4",1,"crangonyx_sp."
"86","13-PATS-0.5_20180705_1_4",22,"gammarus_sp."
"87","13-PATS-0.5_20180705_1_4",1,"undetermined_cambaridae"
"88","13-PATS-0.5_20180705_1_4",2,"undetermined_turbellaria"
"89","13-PATS-0.5_20180705_1_4",2,"undetermined_lumbricina"
