"","MSDH_LINKED_ID_VALIDATOR","MSDH_INDIVIDUAL_SPECIES_CNT","MSTR_MACRO_SPECIES_ID"
"1","13-PATS-0.5_20180705_1_1",100,"hydropsyche_betteni"
"2","13-PATS-0.5_20180705_1_1",100,"hydroptila_sp."
"3","13-PATS-0.5_20180705_1_1",100,"stenelmis_crenata"
"4","13-PATS-0.5_20180705_1_1",100,"stenelmis_sp."
"5","13-PATS-0.5_20180705_1_1",100,"antocha_sp."
"6","13-PATS-0.5_20180705_1_1",100,"diamesa_sp."
"7","13-PATS-0.5_20180705_1_1",100,"cricotopus_trifascia_gr."
"8","13-PATS-0.5_20180705_1_1",100,"thienemannimyia_gr._spp."
"9","13-PATS-0.5_20180705_1_1",100,"rheocricotopus_robacki"
"10","13-PATS-0.5_20180705_1_1",100,"polypedilum_flavum"
"11","13-PATS-0.5_20180705_1_1",100,"cricotopus_sp."
"12","13-PATS-0.5_20180705_1_1",100,"tanytarsus_guerlus_gr."
"13","13-PATS-0.5_20180705_1_1",100,"undetermined_pisidiidae"
"14","13-PATS-0.5_20180705_1_1",100,"caecidotea_sp."
"15","13-PATS-0.5_20180705_1_1",100,"crangonyx_sp."
"16","13-PATS-0.5_20180705_1_1",100,"gammarus_sp."
"17","13-PATS-0.5_20180705_1_1",100,"undetermined_cambaridae"
"18","13-PATS-0.5_20180705_1_1",100,"prostoma_graecense"
"19","13-PATS-0.5_20180705_1_1",100,"undetermined_turbellaria"
"20","13-PATS-0.5_20180705_1_1",100,"undetermined_lumbricina"
"21","13-PATS-0.5_20180705_1_1",100,"undetermined_enchytraeidae"
"22","13-PATS-0.5_20180705_1_1",100,"undet._tubificidae_w/o_cap._setae"
"23","13-PATS-0.5_20180705_1_1",100,"nais_bretscheri"
"24","13-PATS-0.5_20180705_1_1",100,"nais_variabilis"
"25","13-PATS-0.5_20180705_1_2",100,"cheumatopsyche_sp."
"26","13-PATS-0.5_20180705_1_2",100,"hydropsyche_betteni"
"27","13-PATS-0.5_20180705_1_2",100,"hydroptila_sp."
"28","13-PATS-0.5_20180705_1_2",100,"stenelmis_sp."
"29","13-PATS-0.5_20180705_1_2",100,"antocha_sp."
"30","13-PATS-0.5_20180705_1_2",100,"tipula_sp."
"31","13-PATS-0.5_20180705_1_2",100,"undetermined_empididae"
"32","13-PATS-0.5_20180705_1_2",100,"diamesa_sp."
"33","13-PATS-0.5_20180705_1_2",100,"thienemannimyia_gr._spp."
"34","13-PATS-0.5_20180705_1_2",100,"rheocricotopus_robacki"
"35","13-PATS-0.5_20180705_1_2",100,"cricotopus_trifascia_gr."
"36","13-PATS-0.5_20180705_1_2",100,"cricotopus_sp."
"37","13-PATS-0.5_20180705_1_2",100,"cricotopus_bicinctus"
"38","13-PATS-0.5_20180705_1_2",100,"caecidotea_nr._racovitzai"
"39","13-PATS-0.5_20180705_1_2",100,"gammarus_sp."
"40","13-PATS-0.5_20180705_1_2",100,"undetermined_cambaridae"
"41","13-PATS-0.5_20180705_1_2",100,"prostoma_graecense"
